GA,GS
GA1.1.1912240549.1734183404,GS1.1.1734183403.1
GA1.1.1263267016.1734183407,GS1.1.1734183407.1
GA1.1.493762974.1734183411,GS1.1.1734183410.1
GA1.1.1647371292.1734183415,GS1.1.1734183414.1
GA1.1.832679918.1734183418,GS1.1.1734183418.1
GA1.1.1624585423.1734183422,GS1.1.1734183421.1
GA1.1.385279315.1734183426,GS1.1.1734183426.1
GA1.1.613062139.1734183430,GS1.1.1734183429.1
GA1.1.1235920237.1734183434,GS1.1.1734183434.1
GA1.1.903625702.1734183438,GS1.1.1734183437.1
GA1.1.1015295885.1734183442,GS1.1.1734183441.1
GA1.1.745069813.1734183445,GS1.1.1734183445.1
GA1.1.1530931011.1734183449,GS1.1.1734183448.1
GA1.1.27551483.1734183452,GS1.1.1734183452.1
GA1.1.645757592.1734183456,GS1.1.1734183455.1
GA1.1.1394507989.1734183460,GS1.1.1734183459.1
GA1.1.1889670885.1734183463,GS1.1.1734183463.1
GA1.1.1202352785.1734183467,GS1.1.1734183466.1
GA1.1.1979033030.1734183470,GS1.1.1734183470.1
GA1.1.1913139277.1734183474,GS1.1.1734183473.1
GA1.1.1397266645.1734183478,GS1.1.1734183477.1
GA1.1.664451101.1734183481,GS1.1.1734183481.1
GA1.1.1020425919.1734183486,GS1.1.1734183485.1
GA1.1.1400225905.1734183488,GS1.1.1734183488.1
GA1.1.920963465.1734183492,GS1.1.1734183491.1
GA1.1.827667571.1734183495,GS1.1.1734183495.1
GA1.1.547842818.1734183499,GS1.1.1734183498.1
GA1.1.2125401366.1734183502,GS1.1.1734183502.1
GA1.1.1422438312.1734183506,GS1.1.1734183506.1
GA1.1.547314359.1734183510,GS1.1.1734183509.1
GA1.1.12173850.1734183514,GS1.1.1734183513.1
GA1.1.917347531.1734183517,GS1.1.1734183517.1
GA1.1.712829272.1734183521,GS1.1.1734183520.1
GA1.1.1179819318.1734183525,GS1.1.1734183524.1
GA1.1.2115964573.1734183529,GS1.1.1734183529.1
GA1.1.422605412.1734183533,GS1.1.1734183532.1
GA1.1.529502492.1734183537,GS1.1.1734183536.1
GA1.1.1658899464.1734183540,GS1.1.1734183540.1
GA1.1.1336657875.1734183544,GS1.1.1734183544.1
GA1.1.1017569180.1734183548,GS1.1.1734183547.1
GA1.1.1691810686.1734183551,GS1.1.1734183551.1
GA1.1.1100915829.1734183555,GS1.1.1734183555.1
GA1.1.597897008.1734183559,GS1.1.1734183558.1
GA1.1.739041776.1734183562,GS1.1.1734183562.1
GA1.1.827057535.1734183566,GS1.1.1734183565.1
GA1.1.784313207.1734183569,GS1.1.1734183569.1
GA1.1.617745884.1734183573,GS1.1.1734183572.1
GA1.1.177587679.1734183577,GS1.1.1734183576.1
GA1.1.401090645.1734183580,GS1.1.1734183580.1
GA1.1.1404323524.1734183584,GS1.1.1734183583.1
GA1.1.772490618.1734183587,GS1.1.1734183587.1
GA1.1.2140191161.1734183591,GS1.1.1734183590.1
GA1.1.1999998733.1734183594,GS1.1.1734183594.1
GA1.1.871645448.1734183598,GS1.1.1734183597.1
GA1.1.2124069553.1734183602,GS1.1.1734183601.1
GA1.1.211079685.1734183605,GS1.1.1734183605.1
GA1.1.495452242.1734183609,GS1.1.1734183609.1
GA1.1.1364869575.1734183613,GS1.1.1734183612.1
GA1.1.862486642.1734183617,GS1.1.1734183616.1
GA1.1.1147141011.1734183622,GS1.1.1734183621.1
GA1.1.194047533.1734183626,GS1.1.1734183625.1
GA1.1.538472757.1734183630,GS1.1.1734183630.1
GA1.1.226562747.1734183635,GS1.1.1734183635.1
GA1.1.544005956.1734183639,GS1.1.1734183639.1
GA1.1.469101846.1734183644,GS1.1.1734183644.1
GA1.1.1068575212.1734183648,GS1.1.1734183647.1
GA1.1.1173678256.1734183651,GS1.1.1734183651.1
GA1.1.1245928658.1734183655,GS1.1.1734183655.1
GA1.1.1497786008.1734183659,GS1.1.1734183658.1
GA1.1.1488935564.1734183662,GS1.1.1734183662.1
GA1.1.1445571666.1734183666,GS1.1.1734183665.1
GA1.1.227530308.1734183669,GS1.1.1734183669.1
GA1.1.1500765827.1734183673,GS1.1.1734183672.1
GA1.1.696556782.1734183677,GS1.1.1734183676.1
GA1.1.28496274.1734183680,GS1.1.1734183680.1
GA1.1.271245295.1734183684,GS1.1.1734183683.1
GA1.1.1714195790.1734183687,GS1.1.1734183687.1
GA1.1.1485172235.1734183691,GS1.1.1734183690.1
GA1.1.529006243.1734183694,GS1.1.1734183694.1
GA1.1.2061496863.1734183698,GS1.1.1734183697.1
GA1.1.755921835.1734183701,GS1.1.1734183701.1
GA1.1.2012663244.1734183705,GS1.1.1734183705.1
GA1.1.1361991369.1734183709,GS1.1.1734183708.1
GA1.1.1053657799.1734183712,GS1.1.1734183712.1
GA1.1.1958425998.1734183716,GS1.1.1734183715.1
GA1.1.709040590.1734183719,GS1.1.1734183719.1
GA1.1.1572393313.1734183723,GS1.1.1734183722.1
GA1.1.492471911.1734183726,GS1.1.1734183726.1
GA1.1.1367368645.1734183730,GS1.1.1734183729.1
GA1.1.1038708012.1734183734,GS1.1.1734183733.1
GA1.1.730402234.1734183737,GS1.1.1734183737.1
GA1.1.1488932862.1734183741,GS1.1.1734183740.1
GA1.1.562996237.1734183744,GS1.1.1734183744.1
GA1.1.1335535714.1734183748,GS1.1.1734183747.1
GA1.1.459790965.1734183751,GS1.1.1734183751.1
GA1.1.1191303658.1734183755,GS1.1.1734183754.1
GA1.1.1312736606.1734183759,GS1.1.1734183758.1
GA1.1.1033754148.1734183762,GS1.1.1734183762.1
GA1.1.1466075320.1734183766,GS1.1.1734183765.1
GA1.1.695474361.1734183770,GS1.1.1734183769.1
GA1.1.1652562203.1734183774,GS1.1.1734183773.1
GA1.1.919134656.1734183777,GS1.1.1734183777.1
GA1.1.511567493.1734183781,GS1.1.1734183780.1
GA1.1.1863365210.1734183784,GS1.1.1734183784.1
GA1.1.1484330633.1734183788,GS1.1.1734183787.1
GA1.1.1329643258.1734183791,GS1.1.1734183791.1
GA1.1.803804984.1734183795,GS1.1.1734183795.1
GA1.1.1678737697.1734183799,GS1.1.1734183798.1
GA1.1.1410139342.1734183802,GS1.1.1734183802.1
GA1.1.123593753.1734183806,GS1.1.1734183805.1
GA1.1.855506689.1734183809,GS1.1.1734183809.1
GA1.1.1101787427.1734183813,GS1.1.1734183813.1
GA1.1.1805277726.1734183817,GS1.1.1734183816.1
GA1.1.574068759.1734183820,GS1.1.1734183820.1
GA1.1.1169248617.1734183824,GS1.1.1734183823.1
GA1.1.790665837.1734183827,GS1.1.1734183827.1
GA1.1.448058418.1734183831,GS1.1.1734183831.1
GA1.1.944261008.1734183835,GS1.1.1734183834.1
GA1.1.1431382207.1734183838,GS1.1.1734183838.1
GA1.1.2102648760.1734183842,GS1.1.1734183841.1
GA1.1.1417259140.1734183845,GS1.1.1734183845.1
GA1.1.1435594871.1734183849,GS1.1.1734183848.1
GA1.1.310247955.1734183852,GS1.1.1734183852.1
GA1.1.860200305.1734183856,GS1.1.1734183855.1
GA1.1.1459600950.1734183859,GS1.1.1734183859.1
GA1.1.1816637545.1734183864,GS1.1.1734183863.1
GA1.1.101570389.1734183867,GS1.1.1734183867.1
GA1.1.967286703.1734183871,GS1.1.1734183870.1
GA1.1.602352237.1734183875,GS1.1.1734183874.1
GA1.1.145510324.1734183878,GS1.1.1734183878.1
GA1.1.1490678550.1734183882,GS1.1.1734183881.1
